County,Agency,Time,dist_volume,delta,pct_change,expected_seasonal,residual,robust_z,yoy_pct_change,iso_label,iso_score,reasons
Banks,"Homer Methodist Church, Inc.",2024-01,2626.0,1903.0,2.632,,,0.0,-0.3977064220183486,-1,-0.14415628564647898,ISOFOREST
Banks,"Homer Methodist Church, Inc.",2024-02,4183.0,1557.0,0.593,,,0.0,1.482492581602374,1,0.01628704208399978,YOY=1.48
Banks,"Homer Methodist Church, Inc.",2024-03,3759.0,-424.0,-0.101,,,0.0,1.1753472222222223,1,0.09233503478749,YOY=1.18
Banks,"Homer Methodist Church, Inc.",2024-04,3623.0,-136.0,-0.036,,,0.0,1.5072664359861592,1,0.10184728518928182,YOY=1.51
Banks,"Homer Methodist Church, Inc.",2024-05,3871.0,248.0,0.068,,,0.0,1.601478494623656,1,0.07805346117539491,YOY=1.60
Banks,"Homer Methodist Church, Inc.",2024-06,3713.0,-158.0,-0.041,,,0.0,1.655937052932761,1,0.09534643129974035,YOY=1.66
Banks,"Homer Methodist Church, Inc.",2024-08,4106.0,2147.0,1.096,,,0.0,0.518491124260355,-1,-0.026827831746240816,ISOFOREST
Banks,"Homer Methodist Church, Inc.",2024-11,4947.0,1191.0,0.317,,,0.0,2.3906785469499656,-1,-0.022279829460370104,YOY=2.39; ISOFOREST
Banks,"Homer Methodist Church, Inc.",2024-12,6102.0,1155.0,0.233,,,0.0,7.439834024896266,-1,-0.17322792398868492,YOY=7.44; ISOFOREST
Banks,"Homer Methodist Church, Inc.",2025-01,5711.0,-391.0,-0.064,,,0.0,1.1747905559786749,1,0.037085510239652564,YOY=1.17
Banks,"Homer Methodist Church, Inc.",2025-04,6349.0,992.0,0.185,,,0.0,0.7524151255865305,-1,-0.021664533478401138,ISOFOREST
Banks,New Life Fellowship,2023-04,0.0,-1197.0,-1.0,,,0.0,,-1,-0.17897192749152935,ISOFOREST
Banks,New Life Fellowship,2023-05,2143.0,2143.0,inf,,,0.0,,-1,-0.06915996095167798,ISOFOREST
Banks,New Life Fellowship,2023-09,368.0,-623.0,-0.629,,,0.0,-0.726800296956199,-1,-0.11361317531509274,ISOFOREST
Banks,New Life Fellowship,2023-12,751.0,-714.0,-0.487,,,0.0,1.2966360856269112,1,0.09326988079059267,YOY=1.30
