Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Category
768,182205,9084,L-110,Living Word Baptist Church,484809,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10315,13,0,0,0.0,351,OCONEE,0.0,6/18/2024 14:00,6/18/2024 13:35,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA CANNED SALMON,Proteins
643,175855,842,G-131,"Grace Fellowship Church, INC",478483,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10021,13,0,0,0.0,351,OCONEE,0.0,2/22/2024 15:00,2/23/2024 7:08,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA DICED TOMATOES NO SALT CCC,Vegetables
1019,176416,8946,F2KOconee County,F2K Oconee County,479040,,FOOD PANTRY,AT-RISK YOUTH-Agency,BLUE RECEIPT-SHL,N-03-11810,10,0,0,0.0,140,OCONEE,0.0,3/5/2024 15:30,3/20/2024 11:43,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,,,PROPEL ORANGE RASPBERRY,Beverages
1019,172554,8869,F2KOconee County,F2K Oconee County,476185,,FOOD PANTRY,AT-RISK YOUTH-Agency,YELLOW RECEIPT - SHN,N-20-10004,4,0,0,0.0,12,OCONEE,0.0,1/9/2024 16:00,1/11/2024 8:47,Price Code 1,TRUCK 2 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,,,PAMPERS PREEMIE SWADDLERS,Non-Food Misc.
768,178864,1674,L-110,Living Word Baptist Church,481478,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10073,8,0,0,0.0,216,OCONEE,0.0,4/16/2024 14:00,4/17/2024 11:06,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA TOMATO SAUCE,Vegetables
768,172923,3139,L-110,Living Word Baptist Church,476554,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10290,25,0,0,0.0,625,OCONEE,0.0,1/16/2024 15:00,1/16/2024 13:18,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA WHOLE ALMONDS DRY ROASTED,Proteins
1019,176416,6925,F2KOconee County,F2K Oconee County,479040,,FOOD PANTRY,AT-RISK YOUTH-Agency,BLUE RECEIPT-SHL,C-28-90401,2,0,0,0.0,100,OCONEE,0.0,3/5/2024 15:30,3/20/2024 11:43,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,,,POTATOES,Potatoes 
768,175500,4422,L-110,Living Word Baptist Church,478129,,FP/USDA,MOBILE PANTRY-Agency,USDA,F-50-90452,48,0,0,0.0,1536,OCONEE,0.0,2/20/2024 14:00,2/23/2024 7:08,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA PORK LOIN BONELESS ROAST,Proteins
643,179440,170,G-131,"Grace Fellowship Church, INC",482053,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10007,13,0,0,0.0,364,OCONEE,0.0,4/25/2024 15:00,4/25/2024 13:44,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,"USDA CORN, WHOLE KERNEL NO SALT",Vegetables
768,172923,8783,L-110,Living Word Baptist Church,476554,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10308,13,0,0,0.0,299,OCONEE,0.0,1/16/2024 15:00,1/16/2024 13:18,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA RAISINS,Fruits
