Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Category
321,173424,8919,R-111,Royston Housing Authority,477053,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,LOCAL - LL,N-25-11951,8,0,0,2.88,16,FRANKLIN,0.18,1/25/2024 14:45,1/25/2024 12:46,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,GHIRARDELLI MILK CHOC CARAMEL,Food Misc.
916,180949,5407,W-125,World Outreach Ministries (d/b/a Ignited Church),483555,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-15-10000,25,0,0,4.5,25,FRANKLIN,0.18,5/16/2024 9:35,5/16/2024 13:53,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30553.0,Lavonia,"MEAT & SEAFOOD, FROZEN SHL",Proteins
157,176089,696,N-103,New Beginnings Ministry,478716,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,W-25-10000,179,0,0,32.22,179,FRANKLIN,0.18,2/23/2024 13:34,2/23/2024 10:47,Price Code 1,CONTACT FOR DELIVERY,False,Sharing Floor Athens,01-SH,30557.0,Martin,"ASSORTED SNACK ITEMS, LL",Food Misc.
321,177079,8497,R-111,Royston Housing Authority,479701,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,USDA,C-50-10048,1,0,0,1.6,32,FRANKLIN,0.05,3/14/2024 14:45,3/14/2024 10:13,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,USDA MANDARIN ORANGES,Fruits
321,181835,8972,R-111,Royston Housing Authority,FAIMPORT484439,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCF-15-10000,6,0,0,0.0,6,FRANKLIN,0.0,6/3/2024 0:00,6/3/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"FROZEN MEAT & SEAFOOD, SHL RETAIL PICKUP",Proteins
157,177783,696,N-103,New Beginnings Ministry,480402,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,W-25-10000,101,0,0,18.18,101,FRANKLIN,0.18,3/22/2024 13:34,3/22/2024 11:26,Price Code 1,CONTACT FOR DELIVERY,False,Sharing Floor Athens,01-SH,30557.0,Martin,"ASSORTED SNACK ITEMS, LL",Food Misc.
157,180718,9055,N-103,New Beginnings Ministry,483324,,ON PREMISES (OP),REHAB-Agency,GNAP,N-40-10285,10,0,0,0.0,220,FRANKLIN,0.0,5/17/2024 0:00,5/17/2024 10:44,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30557.0,Martin,GNAP MIXED FRUIT CUPS,Fruits
476,180442,8931,S-129,"Step of Faith Outreach, INC",483048,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,SBB-O,N-16-20003,18,0,0,0.0,396,FRANKLIN,0.0,5/13/2024 16:09,5/14/2024 9:19,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30553.0,Lavonia,SENIOR STAPLES BOX - ASSORTED USDA,Food Misc.
476,175439,3943,S-129,"Step of Faith Outreach, INC",478068,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10268,2,0,0,2.28,76,FRANKLIN,0.03,2/14/2024 16:09,2/14/2024 8:56,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30553.0,Lavonia,USDA APPLE JUICE,Beverages
157,178018,7298,N-103,New Beginnings Ministry,480637,,ON PREMISES (OP),REHAB-Agency,GNAP,N-40-10248,10,0,0,0.0,140,FRANKLIN,0.0,4/5/2024 0:00,4/5/2024 10:42,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,GNAP BAKING AND BISCUIT MIX,Food Misc.
